Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)

10.000000	0.000044	0.066469	0.066469	57.597827	6.196819	0.794362	165.438295	165.438295	165.438295	4.056361	0.000278	2.830000	1.256358	0.456686	13.566974
10.144045	0.000045	0.067435	0.067435	57.848724	6.202699	0.794150	165.227934	165.227934	165.227934	4.056867	0.000295	2.830000	1.254129	0.456253	13.762005
10.290166	0.000047	0.068415	0.068415	58.099692	6.208759	0.793932	165.014515	165.014515	165.014515	4.057387	0.000313	2.830000	1.251838	0.455808	13.959826
10.438391	0.000048	0.069410	0.069410	58.350733	6.215006	0.793708	164.797995	164.797995	164.797995	4.057924	0.000332	2.830000	1.249483	0.455350	14.160479
10.588751	0.000050	0.070419	0.070419	58.601851	6.221446	0.793477	164.578326	164.578326	164.578326	4.058476	0.000352	2.830000	1.247063	0.454878	14.364001
10.741277	0.000051	0.071444	0.071444	58.853046	6.228085	0.793240	164.355462	164.355462	164.355462	4.059045	0.000374	2.830000	1.244576	0.454393	14.570434
10.896000	0.000053	0.072483	0.072483	59.104322	6.234930	0.792996	164.129356	164.129356	164.129356	4.059632	0.000397	2.830000	1.242021	0.453894	14.779818
11.052951	0.000054	0.073538	0.073538	59.355681	6.241987	0.792744	163.899959	163.899959	163.899959	4.060236	0.000422	2.830000	1.239395	0.453381	14.992196
11.212164	0.000056	0.074609	0.074609	59.607125	6.249263	0.792486	163.667223	163.667223	163.667223	4.060858	0.000448	2.830000	1.236696	0.452853	15.207608
11.373670	0.000057	0.075696	0.075696	59.858657	6.256766	0.792220	163.431097	163.431097	163.431097	4.061500	0.000476	2.830000	1.233924	0.452310	15.426098
11.537502	0.000059	0.076799	0.076799	60.110279	6.264504	0.791946	163.191532	163.191532	163.191532	4.062160	0.000505	2.830000	1.231075	0.451752	15.647708
11.703695	0.000061	0.077918	0.077918	60.361993	6.272483	0.791665	162.948476	162.948476	162.948476	4.062841	0.000537	2.830000	1.228149	0.451177	15.872482
11.872281	0.000063	0.079054	0.079054	60.613804	6.280713	0.791375	162.701877	162.701877	162.701877	4.063543	0.000570	2.830000	1.225142	0.450586	16.100465
12.043295	0.000065	0.080207	0.080207	60.865714	6.289201	0.791077	162.451681	162.451681	162.451681	4.064266	0.000606	2.830000	1.222053	0.449978	16.331701
12.216773	0.000067	0.081377	0.081377	61.117724	6.297957	0.790771	162.197836	162.197836	162.197836	4.065011	0.000643	2.830000	1.218880	0.449352	16.566235
