Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)

10.000000	0.000044	0.064599	0.064599	57.565882	6.196629	0.793980	165.447127	165.447127	165.447127	4.049002	0.000276	2.830000	1.256430	0.456700	13.560644
10.144045	0.000045	0.065537	0.065537	57.815850	6.202497	0.793758	165.237153	165.237153	165.237153	4.049294	0.000292	2.830000	1.254205	0.456268	13.755399
10.290166	0.000046	0.066489	0.066489	58.065862	6.208545	0.793529	165.024139	165.024139	165.024139	4.049595	0.000310	2.830000	1.251918	0.455823	13.952933
10.438391	0.000048	0.067456	0.067456	58.315920	6.214779	0.793294	164.808040	164.808040	164.808040	4.049905	0.000329	2.830000	1.249568	0.455366	14.153286
10.588751	0.000049	0.068436	0.068436	58.566026	6.221205	0.793051	164.588812	164.588812	164.588812	4.050225	0.000349	2.830000	1.247153	0.454896	14.356495
10.741277	0.000051	0.069431	0.069431	58.816179	6.227830	0.792802	164.366408	164.366408	164.366408	4.050554	0.000371	2.830000	1.244672	0.454412	14.562602
10.896000	0.000052	0.070441	0.070441	59.066383	6.234659	0.792546	164.140781	164.140781	164.140781	4.050894	0.000394	2.830000	1.242121	0.453914	14.771646
11.052951	0.000054	0.071466	0.071466	59.316639	6.241699	0.792282	163.911885	163.911885	163.911885	4.051245	0.000418	2.830000	1.239501	0.453402	14.983668
11.212164	0.000055	0.072506	0.072506	59.566948	6.248958	0.792011	163.679672	163.679672	163.679672	4.051606	0.000444	2.830000	1.236809	0.452875	15.198710
11.373670	0.000057	0.073562	0.073562	59.817311	6.256443	0.791732	163.444092	163.444092	163.444092	4.051979	0.000471	2.830000	1.234043	0.452334	15.416813
11.537502	0.000059	0.074633	0.074633	60.067730	6.264161	0.791445	163.205096	163.205096	163.205096	4.052364	0.000500	2.830000	1.231201	0.451776	15.638020
11.703695	0.000061	0.075720	0.075720	60.318208	6.272119	0.791149	162.962634	162.962634	162.962634	4.052760	0.000531	2.830000	1.228282	0.451203	15.862374
11.872281	0.000062	0.076823	0.076823	60.568745	6.280327	0.790846	162.716656	162.716656	162.716656	4.053169	0.000564	2.830000	1.225283	0.450613	16.089918
12.043295	0.000064	0.077943	0.077943	60.819343	6.288792	0.790533	162.467109	162.467109	162.467109	4.053591	0.000599	2.830000	1.222202	0.450007	16.320696
12.216773	0.000066	0.079080	0.079080	61.070005	6.297522	0.790211	162.213940	162.213940	162.213940	4.054026	0.000636	2.830000	1.219037	0.449383	16.554753
12.392750	0.000068	0.080233	0.080233	61.320731	6.306528	0.789881	161.957096	161.957096	161.957096	4.054475	0.000676	2.830000	1.215787	0.448741	16.792134
12.571262	0.000070	0.081404	0.081404	61.571525	6.315817	0.789540	161.696524	161.696524	161.696524	4.054938	0.000718	2.830000	1.212449	0.448081	17.032884
12.752345	0.000072	0.082592	0.082592	61.822388	6.325401	0.789190	161.432167	161.432167	161.432167	4.055416	0.000763	2.830000	1.209020	0.447402	17.277050
12.936037	0.000075	0.083798	0.083798	62.073322	6.335289	0.788830	161.163971	161.163971	161.163971	4.055909	0.000811	2.830000	1.205499	0.446704	17.524678
13.122374	0.000077	0.085023	0.085023	62.324329	6.345491	0.788460	160.891877	160.891877	160.891877	4.056418	0.000862	2.830000	1.201884	0.445986	17.775815
13.311396	0.000079	0.086265	0.086265	62.575412	6.356018	0.788079	160.615829	160.615829	160.615829	4.056943	0.000916	2.830000	1.198171	0.445247	18.030510
13.503140	0.000082	0.087526	0.087526	62.826573	6.366882	0.787687	160.335768	160.335768	160.335768	4.057484	0.000973	2.830000	1.194359	0.444488	18.288810
13.697647	0.000084	0.088807	0.088807	63.077813	6.378094	0.787283	160.051634	160.051634	160.051634	4.058044	0.001035	2.830000	1.190446	0.443706	18.550765
13.894955	0.000087	0.090106	0.090106	63.329136	6.389667	0.786868	159.763367	159.763367	159.763367	4.058621	0.001100	2.830000	1.186428	0.442903	18.816424
14.095105	0.000089	0.091426	0.091426	63.580543	6.401613	0.786442	159.470905	159.470905	159.470905	4.059217	0.001170	2.830000	1.182303	0.442076	19.085836
14.298139	0.000092	0.092765	0.092765	63.832039	6.413945	0.786003	159.174186	159.174186	159.174186	4.059832	0.001244	2.830000	1.178070	0.441226	19.359053
14.504097	0.000095	0.094124	0.094124	64.083624	6.426678	0.785551	158.873147	158.873147	158.873147	4.060467	0.001323	2.830000	1.173724	0.440352	19.636125
14.713021	0.000098	0.095504	0.095505	64.335302	6.439825	0.785087	158.567723	158.567723	158.567723	4.061123	0.001407	2.830000	1.169265	0.439453	19.917104
14.924955	0.000101	0.096906	0.096906	64.587075	6.453402	0.784609	158.257849	158.257849	158.257849	4.061800	0.001497	2.830000	1.164688	0.438528	20.202042
15.139942	0.000104	0.098328	0.098328	64.838947	6.467424	0.784118	157.943458	157.943458	157.943458	4.062499	0.001593	2.830000	1.159991	0.437578	20.490992
15.358026	0.000107	0.099772	0.099772	65.090920	6.481907	0.783613	157.624482	157.624482	157.624482	4.063222	0.001695	2.830000	1.155172	0.436600	20.784007
15.579251	0.000111	0.101238	0.101238	65.342998	6.496868	0.783093	157.300853	157.300853	157.300853	4.063968	0.001804	2.830000	1.150228	0.435595	21.081140
15.803663	0.000114	0.102727	0.102727	65.595183	6.512325	0.782558	156.972501	156.972501	156.972501	4.064738	0.001920	2.830000	1.145156	0.434561	21.382446
16.031307	0.000118	0.104238	0.104238	65.847479	6.528297	0.782008	156.639356	156.639356	156.639356	4.065535	0.002044	2.830000	1.139953	0.433497	21.687980
16.262231	0.000121	0.105773	0.105773	66.099889	6.544802	0.781443	156.301344	156.301344	156.301344	4.066357	0.002177	2.830000	1.134616	0.432404	21.997796
16.496481	0.000125	0.107331	0.107331	66.352417	6.561861	0.780861	155.958392	155.958392	155.958392	4.067207	0.002318	2.830000	1.129143	0.431280	22.311950
16.734105	0.000129	0.108913	0.108913	66.605066	6.579494	0.780263	155.610427	155.610427	155.610427	4.068086	0.002470	2.830000	1.123530	0.430124	22.630498
16.975152	0.000133	0.110519	0.110519	66.857840	6.597724	0.779647	155.257372	155.257372	155.257372	4.068993	0.002631	2.830000	1.117775	0.428936	22.953498
17.219671	0.000137	0.112151	0.112151	67.110743	6.616573	0.779014	154.899150	154.899150	154.899150	4.069932	0.002804	2.830000	1.111874	0.427714	23.281005
17.467712	0.000142	0.113807	0.113808	67.363778	6.636066	0.778363	154.535683	154.535683	154.535683	4.070902	0.002988	2.830000	1.105825	0.426457	23.613077
17.719326	0.000146	0.115490	0.115490	67.616950	6.656228	0.777694	154.166891	154.166891	154.166891	4.071905	0.003185	2.830000	1.099624	0.425166	23.949773
17.974565	0.000151	0.117198	0.117198	67.870263	6.677085	0.777005	153.792693	153.792693	153.792693	4.072942	0.003396	2.830000	1.093269	0.423838	24.291149
18.233480	0.000155	0.118934	0.118934	68.123720	6.698664	0.776297	153.413007	153.413007	153.413007	4.074014	0.003622	2.830000	1.086756	0.422472	24.637265
18.496125	0.000160	0.120696	0.120696	68.377328	6.720995	0.775569	153.027748	153.027748	153.027748	4.075123	0.003863	2.830000	1.080082	0.421069	24.988180
18.762553	0.000165	0.122486	0.122486	68.631089	6.744107	0.774820	152.636831	152.636831	152.636831	4.076270	0.004122	2.830000	1.073245	0.419626	25.343952
19.032818	0.000171	0.124304	0.124304	68.885009	6.768034	0.774050	152.240170	152.240170	152.240170	4.077456	0.004399	2.830000	1.066241	0.418142	25.704641
19.306977	0.000176	0.126150	0.126151	69.139093	6.792807	0.773258	151.837677	151.837677	151.837677	4.078684	0.004695	2.830000	1.059067	0.416617	26.070307
19.585085	0.000182	0.128026	0.128026	69.393345	6.818463	0.772444	151.429260	151.429260	151.429260	4.079954	0.005013	2.830000	1.051720	0.415050	26.441008
19.867199	0.000188	0.129932	0.129932	69.647771	6.845038	0.771606	151.014830	151.014830	151.014830	4.081268	0.005354	2.830000	1.044197	0.413438	26.816806
20.153377	0.000194	0.131867	0.131868	69.902377	6.872570	0.770745	150.594291	150.594291	150.594291	4.082628	0.005720	2.830000	1.036496	0.411782	27.197759
20.443677	0.000200	0.133834	0.133834	70.157167	6.901102	0.769860	150.167551	150.167551	150.167551	4.084036	0.006112	2.830000	1.028612	0.410079	27.583928
20.738158	0.000207	0.135832	0.135832	70.412148	6.930675	0.768949	149.734512	149.734512	149.734512	4.085494	0.006532	2.830000	1.020543	0.408330	27.975372
21.036882	0.000214	0.137862	0.137862	70.667324	6.961336	0.768013	149.295075	149.295075	149.295075	4.087003	0.006984	2.830000	1.012287	0.406531	28.372152
21.339908	0.000221	0.139924	0.139925	70.922704	6.993132	0.767050	148.849141	148.849141	148.849141	4.088565	0.007470	2.830000	1.003839	0.404683	28.774326
21.647300	0.000228	0.142020	0.142020	71.178291	7.026113	0.766060	148.396608	148.396608	148.396608	4.090183	0.007991	2.830000	0.995198	0.402783	29.181954
21.959119	0.000235	0.144150	0.144150	71.434094	7.060333	0.765042	147.937371	147.937371	147.937371	4.091860	0.008552	2.830000	0.986361	0.400831	29.595095
22.275430	0.000243	0.146314	0.146314	71.690119	7.095848	0.763996	147.471325	147.471325	147.471325	4.093596	0.009155	2.830000	0.977324	0.398825	30.013806
22.596297	0.000251	0.148513	0.148513	71.946372	7.132718	0.762920	146.998361	146.998361	146.998361	4.095395	0.009804	2.830000	0.968086	0.396763	30.438146
22.921786	0.000260	0.150748	0.150748	72.202862	7.171005	0.761814	146.518370	146.518370	146.518370	4.097260	0.010503	2.830000	0.958644	0.394645	30.868172
23.251963	0.000269	0.153020	0.153020	72.459594	7.210778	0.760676	146.031239	146.031239	146.031239	4.099192	0.011256	2.830000	0.948995	0.392468	31.303939
23.586897	0.000278	0.155329	0.155330	72.716577	7.252105	0.759507	145.536854	145.536854	145.536854	4.101195	0.012068	2.830000	0.939137	0.390232	31.745503
23.926655	0.000287	0.157677	0.157677	72.973818	7.295063	0.758305	145.035099	145.035099	145.035099	4.103271	0.012943	2.830000	0.929067	0.387934	32.192918
24.271307	0.000297	0.160063	0.160063	73.231326	7.339731	0.757069	144.525853	144.525853	144.525853	4.105424	0.013887	2.830000	0.918785	0.385573	32.646235
24.620924	0.000307	0.162489	0.162489	73.489110	7.386193	0.755798	144.008996	144.008996	144.008996	4.107656	0.014907	2.830000	0.908287	0.383147	33.105507
24.975577	0.000318	0.164955	0.164955	73.747176	7.434541	0.754492	143.484404	143.484404	143.484404	4.109972	0.016008	2.830000	0.897573	0.380656	33.570781
25.335338	0.000328	0.167463	0.167463	74.005536	7.484871	0.753149	142.951950	142.951950	142.951950	4.112374	0.017199	2.830000	0.886640	0.378096	34.042105
25.700282	0.000340	0.170013	0.170013	74.264197	7.537284	0.751769	142.411504	142.411504	142.411504	4.114866	0.018487	2.830000	0.875488	0.375467	34.519523
26.070482	0.000352	0.172606	0.172607	74.523169	7.591890	0.750350	141.862936	141.862936	141.862936	4.117452	0.019881	2.830000	0.864114	0.372766	35.003077
26.446016	0.000364	0.175244	0.175244	74.782463	7.648805	0.748892	141.306109	141.306109	141.306109	4.120136	0.021391	2.830000	0.852519	0.369992	35.492806
26.826958	0.000377	0.177926	0.177926	75.042087	7.708155	0.747393	140.740886	140.740886	140.740886	4.122922	0.023028	2.830000	0.840702	0.367144	35.988746
27.213388	0.000390	0.180655	0.180655	75.302054	7.770074	0.745852	140.167127	140.167127	140.167127	4.125815	0.024804	2.830000	0.828662	0.364218	36.490926
27.605384	0.000404	0.183430	0.183431	75.562373	7.834704	0.744268	139.584687	139.584687	139.584687	4.128818	0.026732	2.830000	0.816399	0.361213	36.999375
28.003026	0.000419	0.186254	0.186254	75.823056	7.902199	0.742640	138.993418	138.993418	138.993418	4.131938	0.028826	2.830000	0.803914	0.358128	37.514115
28.406397	0.000434	0.189127	0.189127	76.084114	7.972724	0.740967	138.393172	138.393172	138.393172	4.135178	0.031104	2.830000	0.791207	0.354960	38.035161
28.815578	0.000449	0.192050	0.192051	76.345560	8.046458	0.739247	137.783792	137.783792	137.783792	4.138544	0.033583	2.830000	0.778279	0.351708	38.562524
29.230652	0.000466	0.195025	0.195026	76.607405	8.123592	0.737479	137.165122	137.165122	137.165122	4.142043	0.036283	2.830000	0.765131	0.348368	39.096207
29.651706	0.000483	0.198053	0.198054	76.869662	8.204332	0.735663	136.536999	136.536999	136.536999	4.145678	0.039226	2.830000	0.751766	0.344940	39.636205
30.078825	0.000501	0.201135	0.201136	77.132345	8.288903	0.733796	135.899259	135.899259	135.899259	4.149457	0.042439	2.830000	0.738185	0.341420	40.182504
30.512097	0.000519	0.204272	0.204273	77.395467	8.377545	0.731878	135.251731	135.251731	135.251731	4.153386	0.045948	2.830000	0.724392	0.337808	40.735081
30.951609	0.000539	0.207466	0.207467	77.659043	8.470521	0.729906	134.594242	134.594242	134.594242	4.157472	0.049785	2.830000	0.710389	0.334100	41.293899
31.397452	0.000559	0.210718	0.210719	77.923086	8.568115	0.727880	133.926613	133.926613	133.926613	4.161721	0.053986	2.830000	0.696180	0.330294	41.858911
31.849718	0.000580	0.214029	0.214030	78.187612	8.670636	0.725798	133.248662	133.248662	133.248662	4.166141	0.058589	2.830000	0.681770	0.326389	42.430053
32.308498	0.000602	0.217402	0.217403	78.452637	8.778422	0.723658	132.560201	132.560201	132.560201	4.170740	0.063639	2.830000	0.667164	0.322381	43.007248
32.773887	0.000625	0.220837	0.220838	78.718176	8.891841	0.721460	131.861036	131.861036	131.861036	4.175526	0.069186	2.830000	0.652367	0.318269	43.590396
33.245979	0.000650	0.224337	0.224338	78.984245	9.011295	0.719201	131.150970	131.150970	131.150970	4.180508	0.075286	2.830000	0.637386	0.314050	44.179380
33.724872	0.000675	0.227902	0.227903	79.250863	9.137226	0.716879	130.429800	130.429800	130.429800	4.185693	0.082003	2.830000	0.622228	0.309722	44.774057
34.210663	0.000701	0.231535	0.231536	79.518047	9.270116	0.714494	129.697316	129.697316	129.697316	4.191093	0.089409	2.830000	0.606900	0.305282	45.374256
34.703452	0.000729	0.235238	0.235239	79.785814	9.410501	0.712044	128.953304	128.953304	128.953304	4.196716	0.097586	2.830000	0.591412	0.300728	45.979778
35.203338	0.000758	0.239012	0.239014	80.054185	9.558967	0.709526	128.197541	128.197541	128.197541	4.202573	0.106626	2.830000	0.575773	0.296057	46.590385
35.710426	0.000789	0.242860	0.242861	80.323177	9.716166	0.706939	127.429801	127.429801	127.429801	4.208675	0.116635	2.830000	0.559993	0.291267	47.205802
36.224818	0.000821	0.246783	0.246785	80.592812	9.882819	0.704280	126.649848	126.649848	126.649848	4.215034	0.127735	2.830000	0.544084	0.286356	47.825704
36.746619	0.000855	0.250784	0.250786	80.863111	10.059728	0.701550	125.857440	125.857440	125.857440	4.221661	0.140063	2.830000	0.528058	0.281320	48.449714
37.275937	0.000890	0.254865	0.254867	81.134094	10.247786	0.698744	125.052329	125.052329	125.052329	4.228570	0.153778	2.830000	0.511929	0.276157	49.077395
37.812880	0.000928	0.259029	0.259030	81.405783	10.447994	0.695861	124.234257	124.234257	124.234257	4.235773	0.169061	2.830000	0.495712	0.270865	49.708235
38.357556	0.000967	0.263277	0.263278	81.678202	10.661474	0.692900	123.402959	123.402959	123.402959	4.243285	0.186121	2.830000	0.479422	0.265442	50.341641
38.910079	0.001008	0.267612	0.267614	81.951375	10.889487	0.689857	122.558159	122.558159	122.558159	4.251120	0.205201	2.830000	0.463077	0.259884	50.976922
39.470560	0.001051	0.272038	0.272040	82.225325	11.133460	0.686732	121.699576	121.699576	121.699576	4.259294	0.226577	2.830000	0.446695	0.254189	51.613273
40.039115	0.001097	0.276557	0.276559	82.500077	11.395010	0.683521	120.826916	120.826916	120.826916	4.267824	0.250574	2.830000	0.430295	0.248354	52.249757
40.615860	0.001146	0.281171	0.281174	82.775658	11.675975	0.680222	119.939877	119.939877	119.939877	4.276726	0.277566	2.830000	0.413899	0.242378	52.885278
